date,state,year,total_population,total_arrivals
1/1/2020,Johor,2020,16038.5,1621342
1/1/2020,Kedah,2020,8526.2,85055
1/1/2020,Kelantan,2020,7170,40002
1/1/2020,Melaka,2020,3993.8,6014
1/1/2020,Negeri Sembilan,2020,4800.2,3398
1/1/2020,Pahang,2020,6365.6,1068
1/1/2020,Perak,2020,9984.4,21160
1/1/2020,Perlis,2020,1139.2,52555
1/1/2020,Pulau Pinang,2020,6961.8,66036
1/1/2020,Sabah,2020,13675.4,64786
1/1/2020,Sarawak,2020,9814.5,140067
1/1/2020,Selangor,2020,27978.1,816271
1/1/2020,Labuan,2020,380.2,3947
1/1/2021,Johor,2021,16080.3,752
1/1/2021,Kedah,2021,8606.9,17928
1/1/2021,Perak,2021,10063.3,9
1/1/2021,Perlis,2021,1150.3,9933
1/1/2021,Pulau Pinang,2021,6959.8,89
1/1/2021,Sabah,2021,13650.8,10
1/1/2021,Sarawak,2021,9862.3,946
1/1/2021,Selangor,2021,28059.1,6161
1/1/2021,Terengganu,2021,4682.7,13
1/1/2021,Labuan,2021,383.6,6
1/1/2022,Johor,2022,16113.1,4815
1/1/2022,Kedah,2022,8652.7,18605
1/1/2022,Kelantan,2022,7322.3,4
1/1/2022,Perak,2022,10057.5,13
1/1/2022,Perlis,2022,1159.2,9168
1/1/2022,Pulau Pinang,2022,6963.3,266
1/1/2022,Sabah,2022,13660.4,40
1/1/2022,Sarawak,2022,9894.1,1008
1/1/2022,Selangor,2022,28201.2,42559
1/1/2022,Labuan,2022,387.7,12
1/1/2023,Johor,2023,16429.3,1233914
1/1/2023,Kedah,2023,8756.7,85205
1/1/2023,Kelantan,2023,7438.6,49954
1/1/2023,Melaka,2023,4112.8,5387
1/1/2023,Negeri Sembilan,2023,4899.4,8081
1/1/2023,Pahang,2023,6572.4,502
1/1/2023,Perak,2023,10164.9,15176
1/1/2023,Perlis,2023,1172.5,59069
1/1/2023,Pulau Pinang,2023,7090.7,68413
1/1/2023,Sabah,2023,14387.2,37869
1/1/2023,Sarawak,2023,10009.4,140647
1/1/2023,Selangor,2023,28838.6,528491
1/1/2023,Labuan,2023,396.3,1622
