Products,Year,Value RM Million
Accommodation,2000,5686.00
Accommodation,2001,8453.30
Accommodation,2002,9435.90
Accommodation,2003,8388.70
Accommodation,2004,9251.20
Accommodation,2005,10704.60
Accommodation,2006,12840.20
Accommodation,2007,14235.60
Accommodation,2008,15463.10
Accommodation,2009,16573.80
Accommodation,2010,17343.20
Accommodation,2011,17961.30
Accommodation,2012,18651.50
Accommodation,2013,19829.30
Accommodation,2014,21815.60
Accommodation,2015,17656.40
Accommodation,2016,20142.50
Accommodation,2017,21034.20
Accommodation,2018,21622.80
Accommodation,2019,22007.30
Accommodation,2020,3144.00
Accommodation,2021,73.20
Food and beverage,2000,3380.40
Food and beverage,2001,4020.80
Food and beverage,2002,4769.50
Food and beverage,2003,3491.70
Food and beverage,2004,5159.30
Food and beverage,2005,6358.90
Food and beverage,2006,6782.80
Food and beverage,2007,8338.70
Food and beverage,2008,8772.30
Food and beverage,2009,9290.50
Food and beverage,2010,9716.70
Food and beverage,2011,9797.10
Food and beverage,2012,9689.10
Food and beverage,2013,8180.40
Food and beverage,2014,10439.80
Food and beverage,2015,9727.40
Food and beverage,2016,10190.20
Food and beverage,2017,10928.00
Food and beverage,2018,11274.10
Food and beverage,2019,11517.10
Food and beverage,2020,1907.20
Food and beverage,2021,51.70
Transport,2000,1958.90
Transport,2001,3415.20
Transport,2002,3532.00
Transport,2003,2661.40
Transport,2004,4477.30
Transport,2005,4952.90
Transport,2006,4787.80
Transport,2007,6864.40
Transport,2008,7582.90
Transport,2009,7527.80
Transport,2010,12413.00
Transport,2011,11946.00
Transport,2012,12273.80
Transport,2013,17023.60
Transport,2014,17428.50
Transport,2015,12952.30
Transport,2016,14011.70
Transport,2017,14297.40
Transport,2018,14639.40
Transport,2019,15456.20
Transport,2020,2297.30
Transport,2021,168.40
Travel Agencies,2000,728.10
Travel Agencies,2001,896.20
Travel Agencies,2002,799.20
Travel Agencies,2003,1000.70
Travel Agencies,2004,1275.00
Travel Agencies,2005,1022.50
Travel Agencies,2006,725.40
Travel Agencies,2007,2027.10
Travel Agencies,2008,2032.00
Travel Agencies,2009,2271.00
Travel Agencies,2010,2429.20
Travel Agencies,2011,2682.50
Travel Agencies,2012,2422.30
Travel Agencies,2013,2356.00
Travel Agencies,2014,2664.00
Travel Agencies,2015,4008.90
Travel Agencies,2016,4433.30
Travel Agencies,2017,4026.10
Travel Agencies,2018,3702.00
Travel Agencies,2019,3878.00
Travel Agencies,2020,552.40
Travel Agencies,2021,0.60
Entertainment,2000,866.80
Entertainment,2001,1138.40
Entertainment,2002,1185.90
Entertainment,2003,851.60
Entertainment,2004,1838.40
Entertainment,2005,1278.20
Entertainment,2006,1342.10
Entertainment,2007,1428.20
Entertainment,2008,1486.80
Entertainment,2009,1594.00
Entertainment,2010,1751.30
Entertainment,2011,2216.00
Entertainment,2012,1816.70
Entertainment,2013,2028.70
Entertainment,2014,1656.00
Entertainment,2015,2117.70
Entertainment,2016,2329.80
Entertainment,2017,2439.90
Entertainment,2018,2263.80
Entertainment,2019,2421.20
Entertainment,2020,374.70
Entertainment,2021,9.00
Fuel,2000,0.00
Fuel,2001,0.00
Fuel,2002,0.00
Fuel,2003,0.00
Fuel,2004,0.00
Fuel,2005,0.00
Fuel,2006,0.00
Fuel,2007,0.00
Fuel,2008,0.00
Fuel,2009,0.00
Fuel,2010,0.00
Fuel,2011,0.00
Fuel,2012,0.00
Fuel,2013,0.00
Fuel,2014,0.00
Fuel,2015,622.10
Fuel,2016,632.10
Fuel,2017,575.20
Fuel,2018,589.00
Fuel,2019,447.70
Fuel,2020,22.80
Fuel,2021,0.00
Tourism Characteristic Products,2000,4004.50
Tourism Characteristic Products,2001,5183.40
Tourism Characteristic Products,2002,5310.90
Tourism Characteristic Products,2003,4407.30
Tourism Characteristic Products,2004,6641.90
Tourism Characteristic Products,2005,6646.50
Tourism Characteristic Products,2006,9321.80
Tourism Characteristic Products,2007,12254.60
Tourism Characteristic Products,2008,13282.40
Tourism Characteristic Products,2009,15103.10
Tourism Characteristic Products,2010,16213.30
Tourism Characteristic Products,2011,17494.80
Tourism Characteristic Products,2012,18590.90
Tourism Characteristic Products,2013,19763.90
Tourism Characteristic Products,2014,21599.60
Tourism Characteristic Products,2015,22934.40
Tourism Characteristic Products,2016,24912.00
Tourism Characteristic Products,2017,26868.00
Tourism Characteristic Products,2018,28101.20
Tourism Characteristic Products,2019,28674.20
Tourism Characteristic Products,2020,4473.90
Tourism Characteristic Products,2021,12.10
Tourism Characteristic Services,2000,710.80
Tourism Characteristic Services,2001,1114.20
Tourism Characteristic Services,2002,747.70
Tourism Characteristic Services,2003,489.70
Tourism Characteristic Services,2004,1008.30
Tourism Characteristic Services,2005,990.50
Tourism Characteristic Services,2006,471.60
Tourism Characteristic Services,2007,921.40
Tourism Characteristic Services,2008,941.70
Tourism Characteristic Services,2009,1007.50
Tourism Characteristic Services,2010,1355.80
Tourism Characteristic Services,2011,1399.60
Tourism Characteristic Services,2012,1635.00
Tourism Characteristic Services,2013,1897.90
Tourism Characteristic Services,2014,2520.00
Tourism Characteristic Services,2015,2573.30
Tourism Characteristic Services,2016,2674.40
Tourism Characteristic Services,2017,2752.80
Tourism Characteristic Services,2018,2737.70
Tourism Characteristic Services,2019,2304.80
Tourism Characteristic Services,2020,385.00
Tourism Characteristic Services,2021,72.10
