,Country,Population,World Share,Land Area (Km^2)
1,India,"1,450,935,791",17.78%,"2,973,190"
2,China,"1,419,321,278",17.39%,"9,388,211"
3,United States,"345,426,571",4.23%,"9,147,420"
4,Indonesia,"283,487,931",3.47%,"1,811,570"
5,Pakistan,"251,269,164",3.08%,"770,880"
6,Nigeria,"232,679,478",2.85%,"910,770"
7,Brazil,"211,998,573",2.60%,"8,358,140"
8,Bangladesh,"173,562,364",2.13%,"130,170"
9,Russia,"144,820,423",1.77%,"16,376,870"
10,Ethiopia,"132,059,767",1.62%,"1,000,000"
11,Mexico,"130,861,007",1.60%,"1,943,950"
12,Japan,"123,753,041",1.52%,"364,555"
13,Egypt,"116,538,258",1.43%,"995,450"
14,Philippines,"115,843,670",1.42%,"298,170"
15,DR Congo,"109,276,265",1.34%,"2,267,050"
16,Vietnam,"100,987,686",1.24%,"310,070"
17,Iran,"91,567,738",1.12%,"1,628,550"
18,Turkey,"87,473,805",1.07%,"769,630"
19,Germany,"84,552,242",1.04%,"348,560"
20,Thailand,"71,668,011",0.88%,"510,890"
21,United Kingdom,"69,138,192",0.85%,"241,930"
22,Tanzania,"68,560,157",0.84%,"885,800"
23,France,"66,548,530",0.82%,"547,557"
24,South Africa,"64,007,187",0.78%,"1,213,090"
25,Italy,"59,342,867",0.73%,"294,140"
26,Kenya,"56,432,944",0.69%,"569,140"
27,Myanmar,"54,500,091",0.67%,"653,290"
28,Colombia,"52,886,363",0.65%,"1,109,500"
29,South Korea,"51,717,590",0.63%,"97,230"
30,Sudan,"50,448,963",0.62%,"1,765,048"
31,Uganda,"50,015,092",0.61%,"199,810"
32,Spain,"47,910,526",0.59%,"498,800"
33,Algeria,"46,814,308",0.57%,"2,381,740"
34,Iraq,"46,042,015",0.56%,"434,320"
35,Argentina,"45,696,159",0.56%,"2,736,690"
36,Afghanistan,"42,647,492",0.52%,"652,860"
37,Yemen,"40,583,164",0.50%,"527,970"
38,Canada,"39,742,430",0.49%,"9,093,510"
39,Poland,"38,539,201",0.47%,"306,230"
40,Morocco,"38,081,173",0.47%,"446,300"
41,Angola,"37,885,849",0.46%,"1,246,700"
42,Ukraine,"37,860,221",0.46%,"579,320"
43,Uzbekistan,"36,361,859",0.45%,"425,400"
44,Malaysia,"35,557,673",0.44%,"328,550"
45,Mozambique,"34,631,766",0.42%,"786,380"
46,Ghana,"34,427,414",0.42%,"227,540"
47,Peru,"34,217,848",0.42%,"1,280,000"
48,Saudi Arabia,"33,962,757",0.42%,"2,149,690"
49,Madagascar,"31,964,956",0.39%,"581,795"
50,Côte d'Ivoire,"31,934,230",0.39%,"318,000"
51,Nepal,"29,651,054",0.36%,"143,350"
52,Cameroon,"29,123,744",0.36%,"472,710"
53,Venezuela,"28,405,543",0.35%,"882,050"
54,Niger,"27,032,412",0.33%,"1,266,700"
55,Australia,"26,713,205",0.33%,"7,682,300"
56,North Korea,"26,498,823",0.32%,"120,410"
57,Syria,"24,672,760",0.30%,"183,630"
58,Mali,"24,478,595",0.30%,"1,220,190"
59,Burkina Faso,"23,548,781",0.29%,"273,600"
60,Sri Lanka,"23,103,565",0.28%,"62,710"
61,Malawi,"21,655,286",0.27%,"94,280"
62,Zambia,"21,314,956",0.26%,"743,390"
63,Kazakhstan,"20,592,571",0.25%,"2,699,700"
64,Chad,"20,299,123",0.25%,"1,259,200"
65,Chile,"19,764,771",0.24%,"743,532"
66,Romania,"19,015,088",0.23%,"230,170"
67,Somalia,"19,009,151",0.23%,"627,340"
68,Senegal,"18,501,984",0.23%,"192,530"
69,Guatemala,"18,406,359",0.23%,"107,160"
70,Netherlands,"18,228,742",0.22%,"33,720"
71,Ecuador,"18,135,478",0.22%,"248,360"
72,Cambodia,"17,638,801",0.22%,"176,520"
73,Zimbabwe,"16,634,373",0.20%,"386,850"
74,Guinea,"14,754,785",0.18%,"245,720"
75,Benin,"14,462,724",0.18%,"112,760"
76,Rwanda,"14,256,567",0.17%,"24,670"
77,Burundi,"14,047,786",0.17%,"25,680"
78,Bolivia,"12,413,315",0.15%,"1,083,300"
79,Tunisia,"12,277,109",0.15%,"155,360"
80,South Sudan,"11,943,408",0.15%,"610,952"
81,Haiti,"11,772,557",0.14%,"27,560"
82,Belgium,"11,738,763",0.14%,"30,280"
83,Jordan,"11,552,876",0.14%,"88,780"
84,Dominican Republic,"11,427,557",0.14%,"48,320"
85,United Arab Emirates,"11,027,129",0.14%,"83,600"
86,Cuba,"10,979,783",0.13%,"106,440"
87,Honduras,"10,825,703",0.13%,"111,890"
88,Czech Republic (Czechia),"10,735,859",0.13%,"77,240"
89,Sweden,"10,606,999",0.13%,"410,340"
90,Tajikistan,"10,590,927",0.13%,"139,960"
91,Papua New Guinea,"10,576,502",0.13%,"452,860"
92,Portugal,"10,425,292",0.13%,"91,590"
93,Azerbaijan,"10,336,577",0.13%,"82,658"
94,Greece,"10,047,817",0.12%,"128,900"
95,Hungary,"9,676,135",0.12%,"90,530"
96,Togo,"9,515,236",0.12%,"54,390"
97,Israel,"9,387,021",0.12%,"21,640"
98,Austria,"9,120,813",0.11%,"82,409"
99,Belarus,"9,056,696",0.11%,"202,910"
100,Switzerland,"8,921,981",0.11%,"39,516"
101,Sierra Leone,"8,642,022",0.11%,"72,180"
102,Laos,"7,769,819",0.10%,"230,800"
103,Turkmenistan,"7,494,498",0.09%,"469,930"
104,Libya,"7,381,023",0.09%,"1,759,540"
105,Kyrgyzstan,"7,186,009",0.09%,"191,800"
106,Paraguay,"6,929,153",0.08%,"397,300"
107,Nicaragua,"6,916,140",0.08%,"120,340"
108,Bulgaria,"6,757,689",0.08%,"108,560"
109,Serbia,"6,736,216",0.08%,"87,460"
110,El Salvador,"6,338,193",0.08%,"20,720"
111,Congo,"6,332,961",0.08%,"341,500"
112,Denmark,"5,977,412",0.07%,"42,430"
113,Singapore,"5,832,387",0.07%,700
114,Lebanon,"5,805,962",0.07%,"10,230"
115,Finland,"5,617,310",0.07%,"303,890"
116,Liberia,"5,612,817",0.07%,"96,320"
117,Norway,"5,576,660",0.07%,"365,268"
118,Slovakia,"5,506,760",0.07%,"48,088"
119,State of Palestine,"5,495,443",0.07%,"6,020"
120,Central African Republic,"5,330,690",0.07%,"622,980"
121,Oman,"5,281,538",0.06%,"309,500"
122,Ireland,"5,255,017",0.06%,"68,890"
123,New Zealand,"5,213,944",0.06%,"263,310"
124,Mauritania,"5,169,395",0.06%,"1,030,700"
125,Costa Rica,"5,129,910",0.06%,"51,060"
126,Kuwait,"4,934,507",0.06%,"17,820"
127,Panama,"4,515,577",0.06%,"74,340"
128,Croatia,"3,875,325",0.05%,"55,960"
129,Georgia,"3,807,670",0.05%,"69,490"
130,Eritrea,"3,535,603",0.04%,"101,000"
131,Mongolia,"3,475,540",0.04%,"1,553,560"
132,Uruguay,"3,386,588",0.04%,"175,020"
133,Bosnia and Herzegovina,"3,164,253",0.04%,"51,000"
134,Qatar,"3,048,423",0.04%,"11,610"
135,Moldova,"3,034,961",0.04%,"32,850"
136,Namibia,"3,030,131",0.04%,"823,290"
137,Armenia,"2,973,840",0.04%,"28,470"
138,Lithuania,"2,859,110",0.04%,"62,674"
139,Jamaica,"2,839,175",0.03%,"10,830"
140,Albania,"2,791,765",0.03%,"27,400"
141,Gambia,"2,759,988",0.03%,"10,120"
142,Gabon,"2,538,952",0.03%,"257,670"
143,Botswana,"2,521,139",0.03%,"566,730"
144,Lesotho,"2,337,423",0.03%,"30,360"
145,Guinea-Bissau,"2,201,352",0.03%,"28,120"
146,Slovenia,"2,118,697",0.03%,"20,140"
147,Equatorial Guinea,"1,892,516",0.02%,"28,050"
148,Latvia,"1,871,871",0.02%,"62,200"
149,North Macedonia,"1,823,009",0.02%,"25,220"
150,Bahrain,"1,607,049",0.02%,760
151,Trinidad and Tobago,"1,507,782",0.02%,"5,130"
152,Timor-Leste,"1,400,638",0.02%,"14,870"
153,Estonia,"1,360,546",0.02%,"42,390"
154,Cyprus,"1,358,282",0.02%,"9,240"
155,Mauritius,"1,271,169",0.02%,"2,030"
156,Eswatini,"1,242,822",0.02%,"17,200"
157,Djibouti,"1,168,722",0.01%,"23,180"
158,Fiji,"928,784",0.01%,"18,270"
159,Comoros,"866,628",0.01%,"1,861"
160,Guyana,"831,087",0.01%,"196,850"
161,Solomon Islands,"819,198",0.01%,"27,990"
162,Bhutan,"791,524",0.01%,"38,117"
163,Luxembourg,"673,036",0.01%,"2,590"
164,Montenegro,"638,479",0.01%,"13,450"
165,Suriname,"634,431",0.01%,"156,000"
166,Malta,"539,607",0.01%,320
167,Maldives,"527,799",0.01%,300
168,Micronesia,"526,923",0.01%,700
169,Cabo Verde,"524,877",0.01%,"4,030"
170,Brunei,"462,721",0.01%,"5,270"
171,Belize,"417,072",0.01%,"22,810"
172,Bahamas,"401,283",0%,"10,010"
173,Iceland,"393,396",0%,"100,250"
174,Vanuatu,"327,777",0%,"12,190"
175,Barbados,"282,467",0%,430
176,Sao Tome & Principe,"235,536",0%,960
177,Samoa,"218,019",0%,"2,830"
178,Saint Lucia,"179,744",0%,610
179,Kiribati,"134,518",0%,810
180,Seychelles,"130,418",0%,460
181,Grenada,"117,207",0%,340
182,Tonga,"104,175",0%,720
183,St. Vincent & Grenadines,"100,616",0%,390
184,Antigua and Barbuda,"93,772",0%,440
185,Andorra,"81,938",0%,470
186,Dominica,"66,205",0%,750
187,Saint Kitts & Nevis,"46,843",0%,260
188,Liechtenstein,"39,870",0%,160
189,Monaco,"38,631",0%,1
190,Marshall Islands,"37,548",0%,180
191,San Marino,"33,581",0%,60
192,Palau,"17,695",0%,460
193,Nauru,"11,947",0%,20
194,Tuvalu,"9,646",0%,30
195,Holy See,496,0%,0
